customer_name,segment,markets,countries,sales,profit,quantity,rows,orders,avg_discount,profit_margin,cumulative_profit,cumulative_profit_share,abc_class
John Huston,Consumer,6,24,25947,5395.8237,289,83,38,0.11349397590361446,0.20795559024164642,125666.23918,0.08189137671170688,A
Greg Tran,Consumer,6,18,35552,5214.13118,310,87,34,0.14144827586206898,0.1466621056480648,130880.37036,0.08528920562320973,A
Rick Wilson,Corporate,6,19,25125,5177.4288,265,68,32,0.14705882352941177,0.20606681791044776,136057.79916,0.08866311714491554,A
Todd Sumrall,Corporate,6,27,27775,5093.9654,228,75,37,0.10605333333333333,0.18340109450945094,141151.76455999998,0.09198263909647396,A
Dianna Wilson,Home Office,7,24,23456,5029.0892,312,88,35,0.09577272727272729,0.21440523533424286,146180.85375999997,0.09525988397052539,A
Carlos Daly,Consumer,6,18,20117,5028.9094,240,70,31,0.1002857142857143,0.24998306904608042,151209.76315999997,0.09853701167651617,A
Adam Bellavance,Home Office,6,26,20189,4979.9769,262,68,41,0.13176470588235295,0.246667833968993,156189.74005999998,0.10178225214041958,A
Jill Fjeld,Consumer,6,19,23621,4877.68546,274,78,35,0.12823076923076923,0.20649783921087167,161067.42552,0.10496083359628643,A
Brosina Hoffman,Consumer,6,22,28120,4876.9398,355,97,41,0.14637113402061855,0.17343313655761025,165944.36531999998,0.10813892913704705,A
Janet Lee,Consumer,6,20,20479,4730.68904,253,69,28,0.0771304347826087,0.23100195517359248,170675.05435999998,0.11122171923889516,A
Aaron Bergman,Consumer,6,22,24646,4683.208,301,89,37,0.11011235955056181,0.1900189888825773,175358.26236,0.11427356795379104,A
Maria Bertelson,Consumer,6,21,21607,4622.34732,208,60,35,0.1257,0.21392823251723977,179980.60968,0.11728575633584547,A
Patrick O'Donnell,Consumer,7,20,24025,4618.1191,275,78,41,0.12184615384615384,0.19222139854318418,184598.72878,0.12029518936563426,A
Fred Hopkins,Corporate,6,23,30404,4609.29112,290,82,39,0.1413658536585366,0.15160147085909748,189208.0199,0.12329886957397712,A
Dave Poirier,Corporate,6,16,25901,4600.1323,247,62,31,0.15329032258064515,0.17760442840044788,193808.1522,0.1262965813664292,A
James Galang,Consumer,6,21,21554,4549.1004,272,83,40,0.13915662650602412,0.2110559710494572,198357.2526,0.12926103782654633,A
Steven Roelle,Home Office,6,18,19374,4387.3584,218,65,37,0.0784923076923077,0.22645599256735832,202744.611,0.13212009386138987,A
Brian Moss,Corporate,7,18,17459,4385.84518,248,78,32,0.0994102564102564,0.2512082696603471,207130.45618,0.1349781637947166,A
Magdelene Morse,Consumer,7,19,21226,4380.72512,225,66,31,0.07427272727272727,0.20638486384622634,211511.1813,0.13783289720134387,A
Joe Kamberova,Consumer,6,24,26689,4373.5003,330,91,40,0.12846153846153846,0.1638690209449586,215884.6816,0.14068292249813866,A
Yoseph Carroll,Corporate,6,18,20165,4347.1766,203,56,31,0.06999999999999999,0.21558029258616412,220231.85820000002,0.14351579375223103,A
Alan Hwang,Consumer,6,20,23641,4342.37078,292,74,38,0.11083783783783784,0.18367965737489955,224574.22898,0.14634553325655036,A
Penelope Sewall,Home Office,6,22,30083,4338.8111,282,82,33,0.09890243902439023,0.14422800585048035,228913.04008,0.1491729530678658,A
Charles Sheldon,Corporate,6,18,20050,4328.5768,246,62,34,0.1067741935483871,0.21588911720698253,233241.61688000002,0.1519937036184303,A
Don Jones,Corporate,7,20,21395,4310.462,276,78,38,0.07330769230769231,0.20147053049777988,237552.07888000002,0.1548026495194681,A
Laurel Beltran,Home Office,6,23,26387,4303.23822,316,88,39,0.18765909090909091,0.16308175313601395,241855.31710000001,0.15760688798839745,A
Larry Tron,Consumer,7,23,18619,4213.65294,189,56,34,0.057178571428571426,0.22630930447392447,246068.97004000001,0.1603527475167285,A
Nathan Gelder,Consumer,7,21,22721,4211.22484,243,65,36,0.0872923076923077,0.18534504819330133,250280.19488000002,0.16309702475491472,A
Tom Boeckenhauer,Consumer,6,25,24480,4196.3499,283,93,35,0.15376344086021507,0.17141952205882355,254476.54478000003,0.16583160862340152,A
Randy Bradley,Consumer,6,24,22898,4151.35242,299,83,40,0.08679518072289158,0.18129759891693598,258627.89720000004,0.16853686953601887,A
Katherine Nockton,Corporate,6,18,19669,4145.19254,209,59,32,0.14223728813559322,0.21074749809344653,262773.08974,0.17123811631519137,A
Denny Ordway,Consumer,6,28,18797,4137.6354,252,83,42,0.11578313253012047,0.2201221152311539,266910.72514000005,0.17393443842563314,A
Ben Ferrer,Home Office,6,20,23219,4135.10114,316,86,37,0.07723255813953489,0.17809126749644685,271045.82628000004,0.17662910906594495,A
George Zrebassa,Corporate,7,19,15294,4105.5978000000005,200,52,30,0.12142307692307693,0.26844499803844646,275151.42408,0.1793045536265558,A
Mitch Webber,Consumer,6,23,23070,4086.5403,273,74,36,0.16783783783783784,0.17713655396618985,279237.96438,0.18196757921989376,A
Dave Kipp,Consumer,6,20,19456,4080.5637,214,64,39,0.1144375,0.20973292043585526,283318.52808,0.18462671011561646,A
Nicole Hansen,Corporate,7,16,21304,4075.4649,276,72,28,0.12861111111111112,0.19130045531355613,287393.99298000004,0.18728251833888315,A
Rick Bensley,Home Office,6,18,20854,4066.46,329,79,39,0.07597468354430381,0.1949966433298168,291460.45298000006,0.18993245844941753,A
Paul Van Hugh,Home Office,6,24,18932,4055.5694,243,65,34,0.11,0.21421769490809212,295516.02238000004,0.19257530161622988,A
Vivek Grady,Corporate,6,18,23767,4046.90616,209,61,27,0.0861311475409836,0.17027416838473514,299562.92854000005,0.19521249931569148,A
Cindy Chapman,Consumer,7,21,20866,4034.85446,246,74,37,0.12516216216216217,0.19336981021757885,303597.78300000005,0.1978418434316357,A
Patrick Jones,Corporate,6,15,14442,4019.1325,155,45,25,0.2066666666666667,0.27829473064672483,307616.91550000006,0.20046094221074634,A
Justin Hirsh,Consumer,7,26,23918,3994.6644,283,81,40,0.10938271604938271,0.16701498453047914,311611.57990000007,0.20306409616324647,A
Amy Cox,Consumer,7,14,17155,3980.4112,143,39,26,0.17102564102564102,0.23202630136986302,315591.99110000004,0.20565796190772698,A
Jim Karlsson,Consumer,7,21,17121,3976.3415999999997,250,69,35,0.09927536231884057,0.23224937795689501,319568.3327,0.20824917566589166,A
Robert Dilbeck,Home Office,7,22,16344,3965.8731,187,56,30,0.13589285714285715,0.2426500917767988,323534.20580000005,0.21083356754506405,A
Laura Armstrong,Corporate,6,25,27864,3962.3098,323,86,46,0.09604651162790698,0.14220175854148723,327496.51560000004,0.21341563737223151,A
Dean percer,Home Office,7,21,22833,3959.16412,260,81,35,0.08520987654320988,0.17339658038803485,331455.67972,0.2159956572926971,A
Erin Mull,Consumer,7,20,15321,3939.46018,216,62,26,0.10341935483870968,0.257128136544612,335395.1399,0.21856283698826398,A
Rob Dowd,Consumer,6,24,21482,3919.9697,301,90,38,0.06644444444444444,0.182476943487571,339315.1096,0.22111731556179215,A
Gary Hwang,Consumer,7,24,24629,3908.1151000000004,377,102,41,0.13823529411764707,0.15867940639084008,343223.2247,0.22366406899354238,A
Cynthia Arntzen,Consumer,6,15,19834,3891.2644999999998,213,61,30,0.16721311475409834,0.19619161540788543,347114.4892,0.22619984160147372,A
Natalie Webber,Consumer,7,20,22374,3821.53806,258,79,33,0.18612658227848103,0.17080263073209975,350936.02726,0.22869017643548847,A
Bobby Elias,Consumer,6,25,18411,3789.15606,225,60,37,0.11223333333333334,0.20580935636304382,354725.18332,0.23115940928874865,A
Patrick O'Brill,Consumer,6,22,26712,3778.3637,370,102,45,0.14137254901960783,0.1414481768493561,358503.54702,0.23362160921714265,A
Michael Dominguez,Corporate,5,22,22427,3772.40044,250,59,33,0.11884745762711865,0.16820798323449412,362275.94746,0.23607992314103554,A
Gary Zandusky,Consumer,7,27,24700,3742.4389,255,78,43,0.11794871794871795,0.15151574493927125,366018.38636,0.2385187123956536,A
Mathew Reese,Home Office,6,18,21575,3711.2306,267,76,29,0.04592105263157895,0.17201532329084587,369729.61696,0.2409371645201999,A
Barry Weirich,Consumer,6,15,17440,3695.4033000000004,216,51,23,0.09945098039215687,0.2118923910550459,373425.02026,0.24334530266228688,A
Christina Anderson,Consumer,6,19,21835,3662.118,247,69,38,0.0743768115942029,0.167717792534921,377087.13826000004,0.24573175018118784,A
Dave Brooks,Consumer,6,22,25550,3652.3608600000002,255,70,34,0.1679142857142857,0.1429495444227006,380739.49912000005,0.2481118393843424,A
Evan Minnotte,Home Office,6,20,19672,3647.45576,232,66,27,0.09412121212121212,0.18541357055713703,384386.95488000003,0.25048873214114403,A
Shirley Daniels,Home Office,6,23,17959,3647.2210999999998,303,85,40,0.1690588235294118,0.203085979174787,388034.17598000006,0.25286547197994175,A
Matthew Clasen,Corporate,6,22,21805,3643.2892,288,80,38,0.0685,0.16708503554230683,391677.46518000006,0.2552396495656936,A
Eugene Moren,Home Office,6,25,23411,3624.25176,346,94,36,0.16463829787234044,0.1548097800179403,395301.7169400001,0.2576014212564268,A
Joe Elijah,Consumer,6,20,22452,3620.8885,319,82,43,0.1875609756097561,0.16127242561909852,398922.6054400001,0.2599610012527682,A
Brian Stugart,Consumer,6,21,22573,3612.8758,278,71,31,0.1119718309859155,0.16005297479289415,402535.48124000005,0.2623153597111814,A
Katharine Harms,Corporate,6,24,18414,3611.0256,221,74,39,0.11381081081081082,0.19610218312153796,406146.50684000005,0.2646685124724545,A
Bart Watters,Corporate,7,24,32315,3595.8858999999998,338,96,45,0.09666666666666666,0.11127606065294754,409742.39274000004,0.2670117993311264,A
Rick Duston,Consumer,7,20,17546,3587.4449,236,66,33,0.04775757575757576,0.20445941525133934,413329.83764000004,0.26934958554686245,A
Becky Pak,Consumer,7,19,14811,3576.20716,221,58,30,0.10441379310344828,0.24145615826075215,416906.04480000003,0.2716800486024105,A
Andrew Roberts,Consumer,6,20,16914,3561.75886,235,70,39,0.09674285714285714,0.21058051673170156,420467.80366000003,0.27400109631151504,A
Maribeth Yedwab,Corporate,6,20,16472,3559.5073,207,56,32,0.2127142857142857,0.216094420835357,424027.31096000003,0.2763206767741312,A
Frank Hawley,Corporate,6,14,13686,3547.5756,160,48,28,0.09937499999999999,0.25921201227531787,427574.88656,0.278632481852158,A
Maribeth Schnelling,Consumer,6,23,21681,3529.3421999999996,280,79,39,0.10911392405063293,0.16278502836585027,431104.22876,0.28093240499405087,A
Grace Kelly,Corporate,6,18,19982,3495.2934,236,65,28,0.17307692307692307,0.1749220998899009,434599.52216000005,0.28321013997207745,A
Julie Prescott,Home Office,6,20,14594,3479.0402,241,76,42,0.05671052631578948,0.2383883924900644,438078.56236000004,0.2854772834266157,A
Roland Schwarz,Corporate,6,21,15108,3472.16638,175,49,31,0.07253061224489797,0.2298230328302886,441550.72874000005,0.2877399475031862,A
Yana Sorensen,Corporate,6,20,20034,3450.4063,215,62,32,0.07096774193548387,0.1722275282020565,445001.13504,0.28998843145532405,A
Maria Etezadi,Home Office,6,23,26252,3418.5585,296,84,40,0.13095238095238096,0.13022087840926405,448419.69354,0.292216161542269,A
Lena Radford,Consumer,6,17,22903,3371.71596,224,65,29,0.17464615384615384,0.14721721870497315,451791.4095,0.29441336632572507,A
Theresa Coyne,Corporate,6,26,22219,3359.81226,332,84,35,0.13742857142857143,0.15121347765425988,455151.22176,0.29660281397100846,A
Dianna Vittorini,Consumer,6,17,16951,3342.72258,218,63,25,0.05323809523809524,0.19719913751401097,458493.94434,0.29878112499414183,A
Ruben Dartt,Consumer,6,22,18320,3330.6742,284,86,39,0.07209302325581396,0.18180536026200872,461824.61854,0.3009515845972615,A
Ruben Ausman,Corporate,7,15,15939,3320.46868,240,75,31,0.06605333333333333,0.20832352594265638,465145.08722,0.3031153936943398,A
Cyra Reiten,Home Office,6,21,15657,3312.72046,188,54,32,0.0892962962962963,0.211580791978029,468457.80767999997,0.30527415360392746,A
Eric Murdock,Consumer,7,25,28085,3306.01548,392,100,45,0.15344,0.11771463343421755,471763.82315999997,0.3074285441614393,A
John Grady,Corporate,6,19,22219,3280.7801,370,95,40,0.1196842105263158,0.14765651469463073,475044.60325999995,0.3095664898883942,A
Carol Adams,Corporate,6,23,23993,3279.0813,200,57,34,0.16421052631578947,0.1366682490726462,478323.68455999997,0.3117033285791899,A
Tamara Willingham,Home Office,6,21,14256,3275.0801,194,59,35,0.13288135593220338,0.22973345258136926,481598.76466,0.31383755985705886,A
Denny Joy,Corporate,6,21,22561,3255.39614,232,63,32,0.12638095238095237,0.14429307832099642,484854.1608,0.31595896393015066,A
Anne McFarland,Consumer,7,22,25522,3238.5851,303,79,36,0.09860759493670886,0.12689386019904395,488092.74590000004,0.3180694129590035,A
Jeremy Pistek,Consumer,7,18,18659,3170.16016,266,74,30,0.11435135135135135,0.16989978884184576,491262.90606000007,0.3201352723464811,A
Neil Ducich,Corporate,7,24,14780,3168.85352,195,57,32,0.10091228070175438,0.2144014560216509,494431.75958000007,0.3222002802518966,A
Liz Thompson,Consumer,6,18,21217,3146.42816,288,74,32,0.14070270270270271,0.1482975048310317,497578.1877400001,0.324250674498022,A
Neoma Murray,Consumer,5,13,13872,3142.6994999999997,240,54,28,0.14203703703703704,0.22654984861591693,500720.88724000007,0.32629863893401945,A
Andy Reiter,Consumer,6,15,8545,3139.0833,89,35,23,0.11857142857142858,0.36735907548273844,503859.97054000007,0.3283442468453179,A
Arthur Prichep,Consumer,6,19,18546,3137.6156,284,87,37,0.07540229885057471,0.1691801790143427,506997.5861400001,0.33038889831855955,A
Erica Smith,Consumer,7,23,14719,3127.37644,220,67,39,0.13838805970149254,0.21247207283103473,510124.9625800001,0.33242687736399373,A
Anthony Rawles,Corporate,6,24,17339,3117.6468,248,72,45,0.12597222222222224,0.17980545590864525,513242.6093800001,0.3344585160142692,A
Katrina Willman,Consumer,5,18,15747,3107.0106,193,58,27,0.1596551724137931,0.19730809678033912,516349.6199800001,0.3364832235025502,A
Meg O'Connel,Home Office,6,23,18003,3104.0855,230,58,34,0.10379310344827586,0.1724204577014942,519453.70548000006,0.3385060248267925,A
Trudy Glocke,Consumer,7,30,18883,3096.2398,288,75,42,0.14362666666666668,0.16396969761160832,522549.94528000004,0.3405237134399481,A
Randy Ferguson,Corporate,7,22,16598,3093.9550000000004,232,63,32,0.09765079365079365,0.1864052897939511,525643.9002800001,0.34253991314551224,A
Scot Coram,Corporate,6,16,22129,3071.368,259,64,28,0.1125,0.13879379999096209,528715.2682800001,0.34454139385783006,A
Tim Brockman,Consumer,6,23,19103,3065.7062,305,89,43,0.17337078651685392,0.16048297126105848,531780.9744800001,0.34653918501438735,A
Jack O'Briant,Corporate,6,16,13348,3045.2555,178,51,29,0.08333333333333333,0.22814320497452803,534826.2299800001,0.34852364931411617,A
Neil Knudson,Home Office,5,17,13875,3040.5326999999997,222,63,28,0.08733333333333335,0.21913749189189188,537866.76268,0.35050503596469706,A
Roger Demir,Consumer,6,23,14738,3037.0109,269,77,38,0.11675324675324676,0.2060666915456643,540903.77358,0.3524841276070691,A
Nora Paige,Consumer,6,14,15714,3035.66246,164,48,25,0.052541666666666674,0.1931820325824106,543939.4360400001,0.3544623405280858,A
Erica Bern,Corporate,6,26,16119,3030.7344,250,77,41,0.15249350649350651,0.18802248278429182,546970.17044,0.35643734204068794,A
Frank Olsen,Consumer,6,26,17775,3023.7504,296,85,47,0.13341176470588234,0.17011254008438817,549993.92084,0.3584077923756733,A
Christopher Martinez,Consumer,6,23,22460,3010.03432,198,56,29,0.18614285714285714,0.13401755654496883,553003.95516,0.3603693045210412,A
Carl Weiss,Home Office,6,18,14357,3007.3994,218,55,29,0.07821818181818183,0.20947268928049034,556011.35456,0.3623290996004117,A
Ashley Jarboe,Consumer,6,21,15949,3006.7032,195,56,36,0.12589285714285714,0.1885198570443288,559018.05776,0.36428844099566754,A
Corey Catlett,Corporate,5,13,17604,3003.011,212,61,32,0.11475409836065574,0.17058685526016815,562021.06876,0.3662453763402366,A
Anne Pryor,Home Office,6,16,16360,2992.7651,244,63,26,0.12733333333333333,0.18293185207823962,565013.83386,0.3681956348648248,A
Toby Gnade,Consumer,7,19,13021,2986.457,221,63,35,0.11682539682539683,0.22935696183088855,568000.2908600001,0.37014178266725895,A
Alice McCarthy,Corporate,6,22,18765,2977.8523999999998,284,77,39,0.08792207792207793,0.15869184119371169,570978.14326,0.3720823232155518,A
Sally Knutson,Consumer,6,16,13292,2975.51382,231,62,26,0.10216129032258064,0.2238574947336744,573953.65708,0.3740213398101002,A
Art Foster,Consumer,6,20,20064,2971.2347800000002,283,76,37,0.12136842105263158,0.14808785785486445,576924.8918600001,0.37595756793513696,A
Doug Bickford,Consumer,6,16,12855,2967.6800000000003,209,58,32,0.11555172413793104,0.23085803189420462,579892.5718600001,0.3778914795602927,A
Dennis Kane,Consumer,7,24,20103,2965.5079,287,76,36,0.07631578947368423,0.14751568920061683,582858.0797600001,0.3798239757196835,A
Julia West,Consumer,6,16,20598,2950.0157,224,61,29,0.1137704918032787,0.14321855034469366,585808.0954600001,0.3817463762671219,A
Chuck Sachs,Consumer,6,24,22759,2943.10958,236,70,31,0.10174285714285713,0.12931629597082472,588751.2050400001,0.38366427638804773,A
Chuck Clark,Home Office,6,14,15040,2940.51086,229,60,31,0.1057,0.19551269015957445,591691.7159000002,0.38558048303298603,A
Justin Ellison,Corporate,6,21,12910,2928.30396,178,53,28,0.134,0.2268244740511232,594620.0198600002,0.38748873495712666,A
Aimee Bixby,Consumer,5,16,16205,2926.3543,208,55,28,0.10730909090909091,0.18058341869793273,597546.3741600002,0.38939571637024883,A
Neil Französisch,Home Office,7,17,12649,2920.0567,186,62,29,0.13712903225806453,0.23085277097003717,600466.4308600002,0.3912985939036229,A
Damala Kotsonis,Corporate,6,27,20961,2917.8505,274,86,43,0.195,0.1392037832164496,603384.2813600001,0.39320003374970347,A
Sam Zeldin,Home Office,6,21,16361,2915.8473,262,77,41,0.1695064935064935,0.17821938145590122,606300.1286600002,0.39510016819501054,A
Cari Sayre,Corporate,6,22,22067,2915.3282,208,68,34,0.22705882352941176,0.1321125753387411,609215.4568600002,0.3969999643647877,A
Eugene Barchas,Consumer,6,22,16085,2893.6639,196,64,34,0.2159375,0.1798982841156357,612109.1207600002,0.39888564282591,A
Karen Daniels,Consumer,5,14,24018,2890.6947000000005,246,64,30,0.133125,0.12035534599050714,614999.8154600002,0.40076938638488735,A
Fred Harton,Consumer,6,14,10766,2888.03482,138,42,23,0.08623809523809524,0.26825513839866244,617887.8502800001,0.40265139661249016,A
Justin Ritter,Corporate,7,17,13625,2884.286,184,57,27,0.11929824561403508,0.2116907155963303,620772.1362800001,0.4045309638925452,A
Sandra Glassco,Consumer,7,17,11853,2883.7084,148,50,23,0.07184,0.2432893275963891,623655.8446800001,0.4064101547750929,A
Roger Barcio,Home Office,7,23,15304,2879.5411,150,54,28,0.15574074074074074,0.1881561095138526,626535.3857800001,0.40828663000436416,A
Gary Mitchum,Home Office,6,13,11011,2872.1064,148,43,21,0.14534883720930233,0.2608397420761057,629407.4921800002,0.4101582603538776,A
Joy Bell-,Consumer,6,23,24011,2867.92322,325,84,39,0.13585714285714284,0.11944205655741119,632275.4154000002,0.4120271647017898,A
Maxwell Schwartz,Consumer,6,29,17928,2851.78544,259,73,42,0.1244109589041096,0.1590687996430165,635127.2008400002,0.4138855527405493,A
Mark Cousins,Corporate,6,22,16548,2851.25848,268,74,35,0.19767567567567568,0.17230230118443315,637978.4593200001,0.41574359738174904,A
Liz Carlisle,Consumer,6,18,20127,2847.60982,214,58,30,0.14300000000000002,0.14148207979331248,640826.0691400002,0.4175992643454397,A
Roy Französisch,Consumer,6,23,15652,2841.73178,272,78,37,0.11612820512820513,0.18155710324559163,643667.8009200002,0.4194511008389014,A
Ralph Ritter,Consumer,6,18,13584,2838.98338,143,54,25,0.09392592592592593,0.20899465400471143,646506.7843000002,0.42130114631624593,A
Benjamin Venier,Corporate,5,14,21366,2819.7504,200,61,25,0.16377049180327868,0.1319737152485257,649326.5347000002,0.42313865847341836,A
Nat Gilpin,Corporate,7,14,12015,2806.44286,186,66,28,0.07354545454545455,0.23357826550145652,652132.9775600001,0.42496749866922423,A
Delfina Latchford,Consumer,6,20,20252,2798.5357,304,76,33,0.11578947368421054,0.13818564586213708,654931.5132600002,0.42679118610305916,A
Alyssa Tate,Home Office,6,20,14945,2795.5313,185,65,36,0.1789230769230769,0.18705462027433925,657727.0445600002,0.4286129156963969,A
Steven Ward,Corporate,7,26,25669,2794.7316,383,106,38,0.09754716981132075,0.10887574895788694,660521.7761600002,0.43043412415904453,A
Eva Jacobs,Consumer,6,19,14957,2794.5691,174,49,28,0.11248979591836736,0.18684021528381362,663316.3452600002,0.43225522672731026,A
Brian Derr,Consumer,6,21,16917,2792.3093000000003,242,68,34,0.14176470588235296,0.16505936631790508,666108.6545600002,0.43407485667942786,A
Odella Nelson,Corporate,6,19,19273,2783.30724,262,74,38,0.13502702702702704,0.14441484148809217,668891.9618000002,0.43588862036952114,A
Bryan Spruell,Home Office,6,19,17253,2783.2074000000002,214,69,30,0.05449275362318841,0.1613173013388976,671675.1692000001,0.4377023189981062,A
Frank Carlisle,Home Office,6,19,12410,2780.7909999999997,177,51,29,0.09549019607843137,0.22407663174858983,674455.9602000001,0.4395144429609419,A
Janet Molinari,Corporate,6,20,16168,2780.094,302,77,33,0.10376623376623377,0.17195039584364177,677236.0542000001,0.44132611271833677,A
Jamie Kunitz,Consumer,6,16,12533,2763.7822,207,50,29,0.10280000000000002,0.22052040213835475,679999.8364000001,0.44312715276510006,A
Kunst Miller,Consumer,5,16,16968,2759.1905,251,69,26,0.1391304347826087,0.1626114156058463,682759.0269000002,0.44492520059504437,A
Jim Kriz,Home Office,6,20,13071,2754.2758,157,43,30,0.1207906976744186,0.21071653278249558,685513.3027000001,0.4467200457227215,A
Denise Leinenbach,Consumer,7,20,17936,2747.4922,281,75,37,0.096,0.1531831066012489,688260.7949000001,0.44851047026499175,A
Patricia Hirasaki,Home Office,6,20,11182,2743.6261,135,41,27,0.11024390243902438,0.245360946163477,691004.4210000001,0.45029837543329515,A
Rob Lucas,Consumer,6,19,17289,2703.98888,220,65,31,0.15926153846153845,0.156399379952571,693708.40988,0.4520604507006163,A
Jason Fortune-,Consumer,7,21,22817,2692.5273,296,73,32,0.13827397260273971,0.11800531621159663,696400.93718,0.45381505694068225,A
Dennis Pardue,Home Office,7,18,11661,2688.1890000000003,170,57,33,0.08052631578947368,0.23052817082582971,699089.12618,0.45556683609399923,A
Paul Prost,Home Office,6,15,22247,2687.733,302,79,33,0.12822784810126583,0.12081327819481279,701776.85918,0.45731831809138934,A
Arthur Wiediger,Home Office,6,20,11016,2680.9669599999997,175,49,28,0.16881632653061224,0.24337027596223673,704457.82614,0.4590653909464823,A
Doug Jacobs,Consumer,6,22,13852,2675.7544000000003,198,54,33,0.1288888888888889,0.19316736933294834,707133.58054,0.46080906699653534,A
Henry MacAllister,Consumer,6,20,17128,2673.3391,222,64,34,0.105625,0.15608005021018218,709806.91964,0.4625511690976626,A
Cathy Hwang,Home Office,6,20,15667,2671.50966,225,70,29,0.06845714285714286,0.17051826514329482,712478.4293,0.4642920790300642,A
Craig Leslie,Home Office,6,20,19378,2670.3287,248,69,35,0.10855072463768116,0.13780207967798536,715148.7579999999,0.46603221938074785,A
Jennifer Ferguson,Consumer,6,23,22947,2666.84548,235,66,34,0.08821212121212121,0.11621760927354338,717815.6034799999,0.467770089864178,A
Annie Thurman,Consumer,6,16,13385,2659.7779,186,55,34,0.0710909090909091,0.19871332835263356,720475.3813799999,0.46950335470443777,A
Ricardo Emerson,Consumer,6,18,14039,2643.68018,181,59,27,0.086,0.1883097214901346,723119.06156,0.47122612934095376,A
Muhammed Yedwab,Corporate,6,22,29644,2642.6540800000002,351,108,39,0.15483333333333335,0.08914633922547566,725761.71564,0.4729482353114685,A
Andrew Gjertsen,Corporate,7,22,16381,2642.21386,302,78,40,0.16694871794871796,0.1612974702399121,728403.9295,0.4746700544092154,A
Harold Dahlen,Home Office,6,24,20070,2631.1922,249,81,36,0.19098765432098766,0.13110075734927754,731035.1217,0.4763846911569777,A
Justin Deggeller,Corporate,6,17,23618,2625.31888,248,71,34,0.05932394366197183,0.11115754424591412,733660.44058,0.47809550051033545,A
Chad Cunningham,Home Office,6,15,12522,2622.6274399999998,216,58,30,0.12572413793103449,0.20944157802268007,736283.06802,0.4798045559660005,A
Natalie DeCherney,Consumer,6,17,13709,2620.28132,223,63,29,0.11038095238095239,0.1911358465241812,738903.34934,0.4815120825544219,A
Heather Jas,Home Office,6,20,15435,2618.261,227,68,38,0.07691176470588236,0.1696314220926466,741521.61034,0.4832182925856894,A
Ralph Arnett,Consumer,7,19,23044,2613.0752,263,88,38,0.16363636363636364,0.1133950355841,744134.68554,0.48492112325027786,A
Emily Grady,Consumer,6,23,23114,2604.2372800000003,226,63,32,0.14644444444444443,0.11266926018863029,746738.92282,0.4866181946159426,A
Toby Swindell,Consumer,7,21,18632,2602.96458,249,76,36,0.14823684210526317,0.13970398132245598,749341.8874,0.48831443661680873,A
Alejandro Grove,Consumer,7,24,13419,2602.57212,255,67,33,0.04901492537313432,0.19394680080482896,751944.45952,0.4900104228680805,A
